Days,RA,AF,AW,AR,LF,LW,LR,CF,CW,CR,RH1,RH2,D,CL,CS,GPP
283,,,,,,,,,,,,,,,,0.475581668
284,,,,,,,,,,,,,,,,0.828364585
285,,,,,,,,,,,,,,,,0.865690385
286,,,,,,,,,,,,,,,,1.537722419
287,,,,,,,,,,,,,,,,1.306557024
288,,,,,,,,,,,,,,,,1.535582023
289,,,,,,,,,,,,,,,,1.49783099
290,,,,,,,,,,,,,,,,1.38495584
291,,,,,,,,,,,,,,,,1.122136973
292,,,,,,,,,,,,,,,,1.051755314
293,,,,,,,,,,,,,,,,1.067439218
294,,,,,,,,,,,,,,,,1.03002455
295,,,,,,,,,,,,,,,,1.296312102
296,,,,,,,,,,,,,,,,1.41385822
297,,,,,,,,,,,,,,,,1.444114798
298,,,,,,,,,,,,,,,,1.427228905
299,,,,,,,,,,,,,,,,0.980514071
300,,,,,,,,,,,,,,,,0.811643882
301,,,,,,,,,,,,,,,,1.392330272
302,,,,,,,,,,,,,,,,1.332799945
303,,,,,,,,,,,,,,,,0.864687073
304,,,,,,,,,,,,,,,,1.059260181
305,,,,,,,,,,,,,,,,1.197043861
306,,,,,,,,,,,,,,,,0.950468497
307,,,,,,,,,,,,,,,,0.968830318
308,,,,,,,,,,,,,,,,1.523141239
309,,,,,,,,,,,,,,,,0.88690457
310,,,,,,,,,,,,,,,,0.939219535
311,,,,,,,,,,,,,,,,0.940690546
312,,,,,,,,,,,,,,,,0.603302213
313,,,,,,,,,,,,,,,,0.794129063
314,,,,,,,,,,,,,,,,0.660221695
315,,,,,,,,,,,,,,,,0.267577063
316,,,,,,,,,,,,,,,,0.786567043
317,,,,,,,,,,,,,,,,0.910135075
318,,,,,,,,,,,,,,,,0.572728549
319,,,,,,,,,,,,,,,,0.393596237
320,,,,,,,,,,,,,,,,0.854592722
321,,,,,,,,,,,,,,,,0.959623291
322,,,,,,,,,,,,,,,,0.287784471
323,,,,,,,,,,,,,,,,0.965686785
324,,,,,,,,,,,,,,,,0.668288067
325,,,,,,,,,,,,,,,,0.692435665
326,,,,,,,,,,,,,,,,0.697136695
327,,,,,,,,,,,,,,,,0.892160303
328,,,,,,,,,,,,,,,,0.57882469
329,,,,,,,,,,,,,,,,0.815825964
330,,,,,,,,,,,,,,,,0.907730075
331,,,,,,,,,,,,,,,,0.657598853
332,,,,,,,,,,,,,,,,0.839651857
333,,,,,,,,,,,,,,,,0.706145443
334,,,,,,,,,,,,,,,,0.333790232
335,,,,,,,,,,,,,,,,0.953930179
336,,,,,,,,,,,,,,,,0.815893182
337,,,,,,,,,,,,,,,,0.777987125
338,,,,,,,,,,,,,,,,0.63399579
339,,,,,,,,,,,,,,,,0.434832833
340,,,,,,,,,,,,,,,,0.416416069
341,,,,,,,,,,,,,,,,0.901942114
342,,,,,,,,,,,,,,,,0.532941927
343,,,,,,,,,,,,,,,,0.561747018
344,,,,,,,,,,,,,,,,0.803742399
345,,,,,,,,,,,,,,,,0.666004017
346,,,,,,,,,,,,,,,,0.299075748
347,,,,,,,,,,,,,,,,0.22174787
348,,,,,,,,,,,,,,,,0.088507724
349,,,,,,,,,,,,,,,,0.424063026
350,,,,,,,,,,,,,,,,0.526573756
351,,,,,,,,,,,,,,,,0.756592673
352,,,,,,,,,,,,,,,,0.622481442
353,,,,,,,,,,,,,,,,0.778911786
354,,,,,,,,,,,,,,,,0.710610662
355,,,,,,,,,,,,,,,,0.437584868
356,,,,,,,,,,,,,,,,0.259806685
357,,,,,,,,,,,,,,,,0.825739915
358,,,,,,,,,,,,,,,,0.455855653
359,,,,,,,,,,,,,,,,0.732698764
360,,,,,,,,,,,,,,,,0.777856584
361,,,,,,,,,,,,,,,,0.675045729
362,,,,,,,,,,,,,,,,0.860107979
363,,0.127809474,,,,,,,,,,,,,,0.755836643
364,,,,,,,,,,,,,,,,0.632808682
365,,0.155374089,,,,,,,,,,,,,,0.956053921
366,,,,,,,,,,,,,,,,0.934772496
367,,,,,,,,,,,,,,,,0.941161787
368,,,,,,,,,,,,,,,,0.8811803
369,,,,,,,,,,,,,,,,0.691855134
370,,,,0.236929013,,,,,,,,,,,,1.008867853
371,,,,,,,,,,,,,,,,0.939541746
372,,,,,,,,,,,,,,,,0.88203032
373,,,,,,,,,,,,,,,,0.554649612
374,,,,,,,,,,,,,,,,0.525855333
375,,,,,,,,,,,,,,,,0.576960987
376,,,,,,,,,,,,,,,,0.478348051
377,,,,,,,,,,,,,,,,0.256278056
378,,,,,,,,,,,,,,,,0.736948403
379,,,,,,,,,,,,,,,,0.563018543
380,,,,,,,,,,,,,,,,0.687485801
381,,,,,,,,,,,,,,,,0.392547477
382,,,,,,,,,,,,,,,,0.82850417
383,,,,,,,,,,,,,,,,0.589527658
384,,,,,,,,,,,,,,,,0.52392733
385,,,,,,,,,,,,,,,,0.879099473
386,,,,,,,,,,,,,,,,0.670009484
387,,,,,,,,,,,,,,,,0.602116186
388,,,,,,,,,,,,,,,,0.547368617
389,,,,,,,,,,,,,,,,0.276538989
390,,,,,,,,,,,,,,,,0.452525413
391,,,,,,,,,,,,,,,,0.414331604
392,,,,,,,,,,,,,,,,0.251867532
393,,,,,,,,,,,,,,,,0.607782028
394,,,,,,,,,,,,,,,,0.81987786
395,,,,,,,,,,,,,,,,0.783904206
396,,,,,,,,,,,,,,,,0.664332444
397,,,,,,,,,,,,,,,,1.002150929
398,,,,,,,,,,,,,,,,0.971631703
399,,,,,,,,,,,,,,,,0.919304588
400,,,,,,,,,,,,,,,,0.775394918
401,,,,,,,,,,,,,,,,1.089286855
402,,,,,,,,,,,,,,,,0.929721361
403,,,,,,,,,,,,,,,,0.552447977
404,,,,,,,,,,,,,,,,0.866266996
405,,,,,,,,,,,,,,,,0.664868109
406,,,,,,,,,,,,,,,,0.23699726
407,,,,,,,,,,,,,,,,0.399060541
408,,,,,,,,,,,,,,,,0.253594325
409,,,,,,,,,,,,,,,,0.665096764
410,,,,,,,,,,,,,,,,0.931783498
411,,,,,,,,,,,,,,,,1.210381571
412,,,,,,,,,,,,,,,,1.035669908
413,,,,,,,,,,,,,,,,0.917462069
414,,,,,,,,,,,,,,,,0.545931365
415,,,,,,,,,,,,,,,,0.957168221
416,,,,,,,,,,,,,,,,0.485313929
417,,,,,,,,,,,,,,,,0.862483484
418,,,,,,,,,,,,,,,,0.977354933
419,,,,,,,,,,,,,,,,0.507311988
420,,,,,,,,,,,,,,,,1.126294508
421,,,,,,,,,,,,,,,,1.170841135
422,,,,,,,,,,,,,,,,1.33278657
423,,,,,,,,,,,,,,,,1.195342622
424,,,,,,,,,,,,,,,,1.126072108
425,,,,,,,,,,,,,,,,1.309547377
426,,,,,,,,,,,,,,,,0.875326167
427,,,,,,,,,,,,,,,,0.975612884
